ID	Sentence	Annotation	Comment					
	I had slept.	"(s / sleep-01
      :ARG0 (i / i))"					
	I had seen.	"(s / see-01
      :ARG0 (i / i))"					
	I had eaten.	"(e / eat-01
      :ARG0 (i / i))"					
	I had gone.	"(g / go-02
      :ARG0 (i / i))"					
	I had a party.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (p / party-01))"					
	I had a reception.	"(h / have-06
:ARG0 (i / i)
      :ARG1 (r / reception))"					
	I had a ceremony.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (c / ceremony))"					
	I had a wedding.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (w / wedding))"					
	I had a meeting.	"(m / meet-03
      :ARG0 (i / i))"					
	I had pizza.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (p / pizza))"					
	I had salad.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (s / salad))"					
	I had coffee.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (c / coffee))"					
	I had cake.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (c / cake))"					
	I had sushi.	"(h / have-06
      :ARG0 (i / i)
      :ARG1 (s / sushi))"					
	I had a meeting.	"(m / meet-03
      :ARG0 (i / i))"	duplicate (see sentence 29)				
	I had a blister.	"(h / have-03
      :ARG0 (i / i)
      :ARG1 (b / blister))"					
	I had a fever.	"(h / have-03
      :ARG0 (i / i)
      :ARG1 (f / fever))"					
	I had a headache.	"(h / have-03
      :ARG0 (i / i)
      :ARG1 (h2 / headache))"					
	I had a cold.	"(h / have-03
      :ARG0 (i / i)
      :ARG1 (c / cold))"					
	I had a cough.	"(h / have-03
      :ARG0 (i / i)
      :ARG1 (c / cough-01))"					
	The event is in London.	"(b / be-located-at-91
      :ARG1 (e / event)
      :ARG2 (c / city :wiki ""London"" :name (n / name :op1 ""London"")))"					
	The event is in here.	"(b / be-located-at-91
      :ARG1 (e / event)
      :ARG2 (h / here))"	add preposition?				
	The event is in Paris.	"(b / be-located-at-91
      :ARG1 (e / event)
      :ARG2 (c / city :wiki ""Paris"" :name (n / name :op1 ""Paris"")))"					
	The event is in there.	"(b / be-located-at-91
      :ARG1 (e / event)
      :ARG2 (t / there))"	add preposition?				
	The event is in Canada.	"(b / be-located-at-91
      :ARG1 (e / event)
      :ARG2 (c / country :wiki ""Canada"" :name (n / name :op1 ""Canada"")))"					
	The event is in August.	"(b / be-temporally-at-91
      :ARG1 (e / event)
      :ARG2 (d / date-entity :month 8))"					
	The event is in July.	"(b / be-temporally-at-91
      :ARG1 (e / event)
      :ARG2 (d / date-entity :month 7))"					
	The event is in October.	"(b / be-temporally-at-91
      :ARG1 (e / event)
      :ARG2 (d / date-entity :month 10))"					
	The event is in June.	"(b / be-temporally-at-91
      :ARG1 (e / event)
      :ARG2 (d / date-entity :month 6))"					
	The event is in January.	"(b / be-temporally-at-91
      :ARG1 (e / event)
      :ARG2 (d / date-entity :month 1))"					